# time, flux, model, err
1.062636623828439042e-02 9.999269130704608877e-01 9.999995222329975952e-01 1.534666026702685324e-04
1.066836768586654216e-02 9.999072711613498088e-01 9.999995132185257596e-01 1.534523195430139775e-04
1.071036914072465152e-02 9.997941741319796849e-01 9.999995042040524806e-01 1.534523195430139775e-04
1.075237058103084564e-02 9.998245706857084025e-01 9.999994951895819773e-01 1.534523195430139775e-04
1.079437203588895500e-02 1.000040612205512103e+00 9.999994861751088093e-01 1.534523195430139775e-04
1.083637347619514912e-02 9.999699459414508329e-01 9.999994771606386390e-01 1.534523195430139775e-04
1.087837493105325848e-02 1.000064183359625769e+00 9.999994681461654711e-01 1.534523195430139775e-04
1.092037637135945261e-02 9.998990000176741777e-01 9.999994591316948567e-01 1.534523195430139775e-04
1.096237781894160435e-02 9.998137830913124136e-01 9.999994501172232431e-01 1.534523195430139775e-04
1.100437926652375609e-02 9.997054614436493569e-01 9.999994411027516295e-01 1.534523195430139775e-04
1.104638071410590783e-02 9.998585095915996090e-01 9.999994320882796828e-01 1.534523195430139775e-04
1.108838216168805957e-02 9.998737681551304046e-01 9.999994230738078471e-01 1.534704891995648964e-04
1.113038360199425370e-02 9.998571147109013291e-01 9.999994140593376768e-01 1.534523195430139775e-04
1.117238506412832066e-02 9.998855639001331674e-01 9.999994050448627325e-01 1.534523195430139775e-04
1.121438650443451479e-02 1.000028104374645732e+00 9.999993960303926732e-01 1.534523195430139775e-04
1.125638795929262415e-02 1.000076866010172427e+00 9.999993870159193943e-01 1.534523195430139775e-04
1.129838939959881827e-02 9.999226458914642901e-01 9.999993780014491129e-01 1.534523195430139775e-04
1.134039085445692763e-02 9.999834525592221635e-01 9.999993689869757230e-01 1.534523195430139775e-04
1.138239229476312175e-02 9.999142232550987108e-01 9.999993599725055526e-01 1.534735698286600325e-04
1.142439374234527349e-02 1.000056890298936407e+00 9.999993509580337170e-01 1.535381604820480533e-04
1.146639518992742524e-02 9.998074985521335778e-01 9.999993419435617703e-01 1.534523195430139775e-04
1.150839663023361936e-02 9.998864739806144764e-01 9.999993329290917110e-01 1.534583290361617137e-04
1.155039808509172872e-02 9.998633047786960049e-01 9.999993239146185431e-01 1.534523195430139775e-04
1.159239952539792284e-02 1.000099343382558903e+00 9.999993149001483728e-01 1.534523195430139775e-04
1.163440098025603220e-02 1.000113180621887032e+00 9.999993058856747608e-01 1.534523195430139775e-04
1.167640242056222633e-02 1.000181319957855308e+00 9.999992968712045904e-01 1.534523195430139775e-04
1.171840388269629329e-02 9.998086299556612211e-01 9.999992878567296462e-01 1.534642070311294563e-04
1.176040532300248742e-02 9.998377814016111698e-01 9.999992788422595869e-01 1.534523195430139775e-04
1.180240677058463916e-02 9.998988816813825231e-01 9.999992698277876402e-01 1.534523195430139775e-04
1.184440821816679090e-02 9.999279654989736699e-01 9.999992608133160266e-01 1.534523195430139775e-04
1.188640966574894264e-02 1.000110780599134053e+00 9.999992517988444130e-01 1.534523195430139775e-04
1.192841111333109438e-02 9.999032464054636860e-01 9.999992427843724663e-01 1.535018191935443044e-04
1.197041255363728851e-02 1.000175255068718627e+00 9.999992337699024070e-01 1.534523195430139775e-04
1.201241400849539787e-02 1.000126245420951854e+00 9.999992247554290170e-01 1.534564169043927653e-04
