# binned_wavs, depths, errs
4.480792899999999968e+00 4.381908811641548052e-02 4.297816095040710312e-04
4.500520500000000368e+00 4.467333382094616084e-02 4.282295869899444126e-04
4.520248099999999880e+00 4.492240655235286290e-02 4.279822629474885269e-04
4.539975699999999392e+00 4.493848034290390259e-02 4.485409243648373710e-04
4.559703349999999489e+00 4.467844113410199269e-02 4.510244319210921643e-04
4.579430999999999585e+00 4.383552405875861674e-02 4.554876881948546441e-04
4.599158599999999986e+00 4.433243530665454540e-02 4.708577942912298836e-04
4.618886200000000386e+00 4.384868562038321538e-02 4.677940392898045376e-04
4.638613799999999898e+00 4.476153403795982144e-02 4.870802942322301383e-04
4.658341399999999410e+00 4.469878595162880136e-02 4.603582218963968862e-04
4.678068999999999811e+00 4.465653277369330959e-02 4.774867659304493292e-04
4.697796600000000211e+00 4.460124868564648015e-02 4.856909654750345487e-04
4.717524199999999723e+00 4.381467435442450847e-02 5.080621567830297981e-04
4.737251800000000124e+00 4.383984940298282784e-02 5.103638642925478015e-04
4.756979400000000524e+00 4.454276359503720611e-02 5.118772434749461423e-04
4.776707050000000621e+00 4.472144991389667701e-02 5.175871101259695581e-04
4.796434699999999829e+00 4.508416079378664565e-02 5.157565895516777943e-04
4.816162300000000229e+00 4.403012988220961210e-02 5.147859753438083479e-04
4.835889899999999741e+00 4.411113475495711395e-02 5.357251095729577200e-04
4.855617500000000142e+00 4.501821466586211629e-02 5.290849242398630060e-04
4.875345100000000542e+00 4.381073515483832614e-02 5.618035337310055060e-04
4.895072700000000054e+00 4.382617355124483749e-02 5.525603205006715838e-04
4.914800299999999567e+00 4.408633971475960089e-02 5.667770352301268379e-04
4.934527899999999967e+00 4.451790682160863821e-02 5.680969728158654372e-04
4.954255500000000367e+00 4.441484153040557714e-02 5.675018898188619173e-04
4.973983150000000464e+00 4.502530853195273186e-02 5.704669080725092729e-04
4.993710800000000560e+00 4.343216754792066786e-02 6.047847246135912725e-04
5.013438400000000073e+00 4.538768629265964999e-02 6.077392389165716833e-04
5.033165999999999585e+00 4.370421704913687866e-02 6.201273439339106963e-04
5.052893599999999985e+00 4.299906146947419378e-02 6.254577281420407473e-04
5.072621200000000385e+00 4.419613159448974177e-02 6.056177515043779588e-04
