# time, flux, model, err
8.400289523706305772e-03 9.997669385673193521e-01 1.000000000000000000e+00 1.399832614147165520e-04
8.442290971288457513e-03 9.998633707918285207e-01 9.999997236930492361e-01 1.399822937753685090e-04
8.484292418870609254e-03 9.999221253468700832e-01 9.999994473860981392e-01 1.399969600950936568e-04
8.526293866452760994e-03 9.998592935613395127e-01 9.999991710791472643e-01 1.399837017489349942e-04
8.568295306758955121e-03 9.996898169254918587e-01 9.999988947722441290e-01 1.399822937753685090e-04
8.610296761617064476e-03 1.000074978186418662e+00 9.999986184652454035e-01 1.399822937753685090e-04
8.652298201923258603e-03 9.999037974827277298e-01 9.999983421583423793e-01 1.399822937753685090e-04
8.694299656781367958e-03 9.999117232571750336e-01 9.999980658513435428e-01 1.399822937753685090e-04
8.736301097087562084e-03 9.998377872925060528e-01 9.999977895444404075e-01 1.399822937753685090e-04
8.778302551945671439e-03 9.999778346853259725e-01 9.999975132374416820e-01 1.399822937753685090e-04
8.820303999527823180e-03 9.999839600786172289e-01 9.999972369304908071e-01 1.399822937753685090e-04
8.862305447109974921e-03 1.000189205751573551e+00 9.999969606235400432e-01 1.399822937753685090e-04
8.904306894692126662e-03 1.000354768459740029e+00 9.999966843165889463e-01 1.399822937753685090e-04
8.946308342274278402e-03 1.000066098382829560e+00 9.999964080096380714e-01 1.399957553678857442e-04
8.988309789856430143e-03 9.998650436750695647e-01 9.999961317026870855e-01 1.399824565652410470e-04
9.030311230162624270e-03 9.999358763194204913e-01 9.999958553957839502e-01 1.400375523030577814e-04
9.072312685020733625e-03 9.999967095715267540e-01 9.999955790887852247e-01 1.399822937753685090e-04
9.114314125326927751e-03 9.997577710110324700e-01 9.999953027818820894e-01 1.399822937753685090e-04
9.156315580185037106e-03 9.998995697673477290e-01 9.999950264748833639e-01 1.399822937753685090e-04
9.198317020491231233e-03 1.000041732066559996e+00 9.999947501679804507e-01 1.399822937753685090e-04
9.240318468073382974e-03 9.997964694436147770e-01 9.999944738610293538e-01 1.399952173528219018e-04
9.282319915655534714e-03 1.000136269034587855e+00 9.999941975540783679e-01 1.399822937753685090e-04
9.324321370513644069e-03 1.000075219481448840e+00 9.999939212470797534e-01 1.399870664910411885e-04
9.366322818095795810e-03 9.997043494288657683e-01 9.999936449401287675e-01 1.399829068456754321e-04
9.408324258401989937e-03 1.000198146469358784e+00 9.999933686332256322e-01 1.399833312158497143e-04
9.450325713260099292e-03 1.000143966817494290e+00 9.999930923262267957e-01 1.399822937753685090e-04
9.492327153566293418e-03 9.999746819742655335e-01 9.999928160193239934e-01 1.399822937753685090e-04
9.534328608424402773e-03 9.998953719401049156e-01 9.999925397123251569e-01 1.399822937753685090e-04
9.576330048730596900e-03 1.000124097638717124e+00 9.999922634054220216e-01 1.399822937753685090e-04
9.618331503588706255e-03 1.000025991098154377e+00 9.999919870984232961e-01 1.399822937753685090e-04
9.660332943894900382e-03 1.000150161014810468e+00 9.999917107915202719e-01 1.399822937753685090e-04
9.702334391477052122e-03 1.000033018631417026e+00 9.999914344845691749e-01 1.399822937753685090e-04
9.744335839059203863e-03 9.997099180984315714e-01 9.999911581776183001e-01 1.399822937753685090e-04
9.786337286641355604e-03 9.998205868235616744e-01 9.999908818706675362e-01 1.399822937753685090e-04
9.828338741499464959e-03 9.997895921119497320e-01 9.999906055636686997e-01 1.399916879690642939e-04
9.870340181805659086e-03 1.000131077622249620e+00 9.999903292567655644e-01 1.399132931896053251e-04
9.912341636663768440e-03 9.997565468373925679e-01 9.999900529497668389e-01 1.399822937753685090e-04
9.954343076969962567e-03 1.000115919703625122e+00 9.999897766428637036e-01 1.399822937753685090e-04
9.996344531828071922e-03 9.997571907829357896e-01 9.999895003358649781e-01 1.399881241887603381e-04
1.003834597213426605e-02 1.000045544029484201e+00 9.999892240289618428e-01 1.399822937753685090e-04
1.008034741971641779e-02 1.000085594871346073e+00 9.999889477220109679e-01 1.399822937753685090e-04
1.012234886729856953e-02 1.000004370603182924e+00 9.999886714150599820e-01 1.399890365031471889e-04
1.016435031488072127e-02 1.000019490078602136e+00 9.999883951081091071e-01 1.399822937753685090e-04
1.020635176246287301e-02 1.000235585760506085e+00 9.999881188011581212e-01 1.399822937753685090e-04
1.024835320276906714e-02 1.000086007497866580e+00 9.999878424942550970e-01 1.399822937753685090e-04
1.029035465762717649e-02 1.000055506311921638e+00 9.999875661872562604e-01 1.399826011643053232e-04
1.033235610520932823e-02 1.000168835672345269e+00 9.999872898803053856e-01 1.399822937753685090e-04
1.037435756006743759e-02 1.000010024815336074e+00 9.999870135733066601e-01 1.399896464143053881e-04
1.041635900037363172e-02 1.000044590637503727e+00 9.999867372664035248e-01 1.399822937753685090e-04
1.045836045523174107e-02 9.999819818676795036e-01 9.999864609594046883e-01 1.399822937753685090e-04
1.050036189553793520e-02 9.999460461553553170e-01 9.999861846525016640e-01 1.399822937753685090e-04
1.054236334312008694e-02 9.999863011823010295e-01 9.999859083455507891e-01 1.399822937753685090e-04
1.058436479070223868e-02 9.999984790068588980e-01 9.999856320385999142e-01 1.399887022405516674e-04
1.062636623828439042e-02 1.000000258653214402e+00 9.999853557316489283e-01 1.399822937753685090e-04
1.066836768586654216e-02 9.999625629037380836e-01 9.999850794246980534e-01 1.399822937753685090e-04
1.071036912617273629e-02 9.996968166999627980e-01 9.999848031177950292e-01 1.399822937753685090e-04
1.075237058103084564e-02 9.997927737666556514e-01 9.999845268107961926e-01 1.399822937753685090e-04
1.079437202133703977e-02 1.000048930847993400e+00 9.999842505038931684e-01 1.399822937753685090e-04
1.083637348347110674e-02 1.000218307383671679e+00 9.999839741968465923e-01 1.399822937753685090e-04
1.087837492377730086e-02 9.998812247288771937e-01 9.999836978899434570e-01 1.399822937753685090e-04
1.092037637135945261e-02 1.000028219999281598e+00 9.999834215829924711e-01 1.399822937753685090e-04
1.096237781894160435e-02 9.999424863280477194e-01 9.999831452760415962e-01 1.400352593629092929e-04
1.100437926652375609e-02 9.998458506127018142e-01 9.999828689690906103e-01 1.399822937753685090e-04
1.104638071410590783e-02 1.000105147526009430e+00 9.999825926621397354e-01 1.399822937753685090e-04
1.108838215441210195e-02 1.000162678621602241e+00 9.999823163552367111e-01 1.399862574692204884e-04
1.113038360927021131e-02 9.998052394767014128e-01 9.999820400482378746e-01 1.399822937753685090e-04
1.117238504957640544e-02 9.998584616441462680e-01 9.999817637413348503e-01 1.399875458424658717e-04
1.121438650443451479e-02 1.000019368403178843e+00 9.999814874343360138e-01 1.399822937753685090e-04
1.125638794474070892e-02 9.999724570018182490e-01 9.999812111274329895e-01 1.399822937753685090e-04
1.129838939959881827e-02 9.999063162851493658e-01 9.999809348204341530e-01 1.399822937753685090e-04
1.134039083990501240e-02 1.000099317260867204e+00 9.999806585135312398e-01 1.399822937753685090e-04
1.138239229476312175e-02 1.000085777191803249e+00 9.999803822065324033e-01 1.399822937753685090e-04
1.142439374234527349e-02 9.999077182893528759e-01 9.999801058995814174e-01 1.399822937753685090e-04
1.146639518992742524e-02 9.999161779352532253e-01 9.999798295926305425e-01 1.399822937753685090e-04
1.150839663750957698e-02 9.998613436925662956e-01 9.999795532856795566e-01 1.399822937753685090e-04
1.155039807781577110e-02 9.999738157127870952e-01 9.999792769787765323e-01 1.399822937753685090e-04
1.159239953267388046e-02 9.999764616571490405e-01 9.999790006717776958e-01 1.399822937753685090e-04
1.163440097298007458e-02 1.000061175531848257e+00 9.999787243648747825e-01 1.399822937753685090e-04
